"","sim","DiscountedCost","DiscountedQALY","LY","group"
"66",17,256095.694334825,0.726469534388488,1.9594555941539,"Chemo-TDxd"
"67",17,302346.30883103,0.835152818211458,2.13771821101657,"TDxD-Chemo"
"68",17,326299.331523501,0.883166103637829,2.25443876685158,"TDxD-SG"
"69",18,179477.318854719,0.72454508314956,1.6929076415771,"Chemo-Chemo"
"70",18,247055.650148293,0.84882838016139,1.91061581491553,"Chemo-TDxd"
"71",18,280996.75750048,1.00287452484249,2.06707060685918,"TDxD-Chemo"
"72",18,316651.311959983,1.0210916964163,2.10690652802812,"TDxD-SG"
"73",19,187077.504749755,0.75533336930697,1.73766663221716,"Chemo-Chemo"
"74",19,250873.064560879,0.884120838234747,2.00254348912519,"Chemo-TDxd"
"75",19,293813.163477801,1.0145864413388,2.21384347308497,"TDxD-Chemo"
"76",19,312255.557227735,1.03136840321309,2.24847143062539,"TDxD-SG"
"77",20,187428.704090195,0.828988330894198,1.73819019414176,"Chemo-Chemo"
"78",20,253803.431013839,0.936667721396723,1.92592383024892,"Chemo-TDxd"
"79",20,309857.534762378,1.09183255266467,2.16067326623454,"TDxD-Chemo"
"80",20,323066.638783707,1.08599846481554,2.15045796705288,"TDxD-SG"
"81",21,190695.357180914,0.696358182648501,1.66257580577364,"Chemo-Chemo"
"82",21,235515.585158717,0.785202905692867,1.89036648397294,"Chemo-TDxd"
"83",21,263680.01622779,0.928616392137674,2.0851928516246,"TDxD-Chemo"
"84",21,286252.894442851,0.970464857434261,2.19279277741623,"TDxD-SG"
"85",22,184334.534360129,0.765980359636553,1.66663365492728,"Chemo-Chemo"
"86",22,243309.655449489,0.878208761193439,1.90044861803785,"Chemo-TDxd"
"87",22,295797.924155446,1.06964770750221,2.14216318774894,"TDxD-Chemo"
"88",22,312111.953180497,1.06837297104834,2.13950465418652,"TDxD-SG"
"89",23,203200.387196457,0.760898044636356,1.75675987451069,"Chemo-Chemo"
"90",23,273786.74686966,0.881487771743442,2.02223817365691,"Chemo-TDxd"
"91",23,305467.418286179,0.975007530164299,2.12392780438103,"TDxD-Chemo"
"92",23,335196.868030081,1.03965538164249,2.26620266600112,"TDxD-SG"
"93",24,165276.728944061,0.72065384839857,1.67405026282396,"Chemo-Chemo"
"94",24,226645.035087609,0.845722613811131,2.00209004371673,"Chemo-TDxd"
"95",24,258813.521594722,0.954518273634768,2.24950724325047,"TDxD-Chemo"
"96",24,264417.516234661,0.904448735604605,2.13751480948845,"TDxD-SG"
"97",25,174306.15363336,0.802364145337836,1.68432535734478,"Chemo-Chemo"
"98",25,226992.240256518,0.929800868247451,1.91073155544248,"Chemo-TDxd"
