,sim,DiscountedCost,DiscountedQALY,LY,group
90,18,192715.0938,0.648820706,1.385703294,TDxD-SG
91,19,354204.4915,1.316885406,2.252919369,Super_TDXd
92,19,101575.7581,0.495759865,0.984276893,Chemo-Chemo
93,19,192801.7066,0.658346776,1.393346831,Chemo-TDxd
94,19,201233.664,0.716698755,1.341640243,TDxD-Chemo
95,19,237333.9716,0.792554426,1.531060063,TDxD-SG
96,20,300843.8547,1.322853972,2.208976938,Super_TDXd
97,20,112593.0056,0.667272364,1.084362715,Chemo-Chemo
98,20,198236.0278,0.938031068,1.549927857,Chemo-TDxd
99,20,252710.2098,1.106729061,1.882364395,TDxD-Chemo
100,20,279287.1754,1.177822862,2.003228035,TDxD-SG
101,21,288462.2719,1.161421817,2.138482998,Super_TDXd
102,21,97270.93275,0.529682,1.007520055,Chemo-Chemo
103,21,199300.4889,0.780421927,1.548639982,Chemo-TDxd
104,21,181334.0913,0.727906115,1.442132174,TDxD-Chemo
105,21,207260.3298,0.762457688,1.514556992,TDxD-SG
106,22,328782.6259,1.25640739,2.136203273,Super_TDXd
107,22,119362.5093,0.594199088,1.112081954,Chemo-Chemo
108,22,181668.3332,0.702975941,1.344341237,Chemo-TDxd
109,22,208087.6971,0.759172191,1.401008065,TDxD-Chemo
110,22,242461.4998,0.867141317,1.631370248,TDxD-SG
111,23,283846.245,1.110568954,2.180502358,Super_TDXd
112,23,105986.2003,0.487575404,1.000886597,Chemo-Chemo
113,23,154842.2252,0.59313313,1.230270996,Chemo-TDxd
114,23,175896.7728,0.673675646,1.443991555,TDxD-Chemo
115,23,220023.3048,0.784701042,1.688447788,TDxD-SG
116,24,259245.3507,1.102118878,1.835981518,Super_TDXd
117,24,98372.37245,0.462298018,0.885904738,Chemo-Chemo
118,24,160632.5839,0.601347366,1.210895013,Chemo-TDxd
119,24,180286.1697,0.734164819,1.310926689,TDxD-Chemo
120,24,227129.6143,0.829022079,1.537084752,TDxD-SG
121,25,322148.6648,1.367013595,2.225235117,Super_TDXd
122,25,108250.1549,0.604161957,1.017872162,Chemo-Chemo
123,25,193891.7149,0.82970628,1.449006847,Chemo-TDxd
124,25,222464.4216,0.925311055,1.575904996,TDxD-Chemo
125,25,251426.7338,1.002090139,1.721781295,TDxD-SG
126,26,274716.9506,1.297755242,2.182934737,Super_TDXd
127,26,93316.86763,0.509995294,0.920093581,Chemo-Chemo
128,26,125595.8707,0.584348379,1.062471681,Chemo-TDxd
129,26,157418.6371,0.703723396,1.288360653,TDxD-Chemo
130,26,185470.8169,0.763067772,1.403191924,TDxD-SG
131,27,301097.5258,1.103496896,1.816811726,Super_TDXd
132,27,91206.45818,0.529767284,0.956126824,Chemo-Chemo
133,27,147682.4172,0.606446118,1.107147194,Chemo-TDxd
134,27,206743.0584,0.758766358,1.32346172,TDxD-Chemo
135,27,244717.2703,0.86232319,1.52826471,TDxD-SG
136,28,273285.9611,1.365875458,2.099156341,Super_TDXd
137,28,112366.2937,0.660616226,1.043227434,Chemo-Chemo
138,28,149309.0325,0.767543135,1.240396194,Chemo-TDxd
139,28,177926.2378,0.838017208,1.340303872,TDxD-Chemo
140,28,217359.5849,0.971616426,1.576699414,TDxD-SG
141,29,317319.291,1.278139172,2.115153108,Super_TDXd
142,29,90068.54543,0.485798398,0.883668023,Chemo-Chemo
143,29,151969.7688,0.592816165,1.113138386,Chemo-TDxd
144,29,194167.627,0.765705213,1.338213719,TDxD-Chemo
145,29,231764.5143,0.875279967,1.563314334,TDxD-SG
146,30,281391.1746,1.329659138,2.163896529,Super_TDXd
147,30,93623.11947,0.462761809,0.883846059,Chemo-Chemo
148,30,150754.9095,0.62917938,1.226800886,Chemo-TDxd
149,30,144827.4927,0.626055401,1.13980431,TDxD-Chemo
150,30,190851.144,0.742975957,1.38453966,TDxD-SG
151,31,384437.4642,1.442033285,2.382469689,Super_TDXd
152,31,103341.0539,0.582848452,1.061217031,Chemo-Chemo
153,31,195154.8226,0.755462201,1.40411358,Chemo-TDxd
154,31,219602.2542,0.815121497,1.438102462,TDxD-Chemo
155,31,253693.1256,0.924618977,1.654881101,TDxD-SG
156,32,308401.6556,1.354819104,2.153959775,Super_TDXd
157,32,115982.57,0.63489276,1.095370354,Chemo-Chemo
158,32,219229.8057,0.840202338,1.616701227,Chemo-TDxd
159,32,295562.7726,1.273787332,1.990678707,TDxD-Chemo
160,32,308773.7661,1.271650973,1.985278962,TDxD-SG
161,33,283927.8529,1.01785213,1.85573015,Super_TDXd
162,33,102827.0655,0.523913775,1.024172319,Chemo-Chemo
163,33,149108.6239,0.580629121,1.1560362,Chemo-TDxd
164,33,183065.209,0.646304567,1.278126724,TDxD-Chemo
165,33,205554.0421,0.689815399,1.378816829,TDxD-SG
166,34,289783.5018,1.021585655,1.842937646,Super_TDXd
167,34,101584.6199,0.446890677,0.869003704,Chemo-Chemo
168,34,154492.8653,0.549376337,1.07391138,Chemo-TDxd
169,34,188859.8221,0.646677451,1.221292624,TDxD-Chemo
170,34,221865.4551,0.722148727,1.375445991,TDxD-SG
171,35,283826.3378,1.154116389,1.908192833,Super_TDXd
172,35,106849.5374,0.589512339,1.007598422,Chemo-Chemo
173,35,193546.7471,0.796101136,1.410647356,Chemo-TDxd
174,35,208124.5368,0.844025078,1.455039125,TDxD-Chemo
175,35,227179.3671,0.88305793,1.530395533,TDxD-SG
176,36,317491.8757,1.309806608,2.207920269,Super_TDXd
177,36,98899.86624,0.541271879,0.914607347,Chemo-Chemo
178,36,178385.5407,0.736904666,1.34358315,Chemo-TDxd
179,36,207020.6664,0.827807669,1.484181841,TDxD-Chemo
180,36,245756.5886,0.911059728,1.665014832,TDxD-SG
181,37,302533.4552,1.282042859,1.990587475,Super_TDXd
182,37,103656.3049,0.619020467,1.035340995,Chemo-Chemo
183,37,185972.1107,0.807989429,1.415569945,Chemo-TDxd
184,37,265343.4309,1.113770503,1.752535623,TDxD-Chemo
185,37,284262.0684,1.161932181,1.849147214,TDxD-SG
186,38,233478.3618,1.097809717,1.850528378,Super_TDXd
187,38,112459.2219,0.571650231,1.024611979,Chemo-Chemo
188,38,146349.0789,0.667836688,1.225173273,Chemo-TDxd
189,38,168595.7909,0.762962698,1.352587128,TDxD-Chemo
190,38,198807.764,0.850604644,1.535601601,TDxD-SG
191,39,221648.8544,0.894469093,1.809186256,Super_TDXd
192,39,96663.08214,0.420199074,0.921085835,Chemo-Chemo
193,39,185044.7467,0.650060263,1.526393998,Chemo-TDxd
194,39,159098.1059,0.620924664,1.330870825,TDxD-Chemo
195,39,195949.6382,0.693825209,1.519107019,TDxD-SG
196,40,287774.2924,1.436716092,2.219580796,Super_TDXd
197,40,103293.2063,0.675214729,1.075433739,Chemo-Chemo
198,40,166729.5337,0.832924055,1.430932639,Chemo-TDxd
199,40,190101.9534,0.912470695,1.490104732,TDxD-Chemo
200,40,231189.5596,1.000263203,1.683660266,TDxD-SG
201,41,307787.8976,1.223839428,2.121806218,Super_TDXd
202,41,107961.6622,0.509797817,1.052946389,Chemo-Chemo
203,41,178508.9925,0.606356293,1.339934467,Chemo-TDxd
204,41,184811.747,0.693334936,1.361353263,TDxD-Chemo
205,41,225256.6792,0.779898668,1.618456917,TDxD-SG
206,42,263774.8554,0.958197526,1.798021178,Super_TDXd
207,42,107352.0234,0.510107777,1.031458453,Chemo-Chemo
208,42,183040.3479,0.665795945,1.365120665,Chemo-TDxd
209,42,190839.1133,0.672617323,1.301595355,TDxD-Chemo
210,42,217888.8265,0.750336662,1.465926851,TDxD-SG
211,43,319067.9752,1.255650821,2.227589703,Super_TDXd
212,43,90666.45587,0.490573985,0.914819851,Chemo-Chemo
213,43,164358.78,0.668213113,1.26972422,Chemo-TDxd
214,43,188716.6251,0.746210844,1.400099336,TDxD-Chemo
215,43,199298.8271,0.752398376,1.412297942,TDxD-SG
216,44,315106.6568,1.365147794,2.331911923,Super_TDXd
217,44,101461.4895,0.542567758,1.01044666,Chemo-Chemo
218,44,137399.0811,0.595343428,1.136121794,Chemo-TDxd
219,44,178439.4009,0.754615699,1.407508672,TDxD-Chemo
220,44,211031.0491,0.804620813,1.527777972,TDxD-SG
221,45,268560.1369,1.028744026,1.819522413,Super_TDXd
222,45,90228.86678,0.459832531,0.846122209,Chemo-Chemo
223,45,125761.5789,0.524780651,0.979320726,Chemo-TDxd
224,45,169360.1,0.628826303,1.179951445,TDxD-Chemo
225,45,203560.6849,0.711839261,1.337829736,TDxD-SG
226,46,297705.7492,1.387087529,2.249350073,Super_TDXd
227,46,90897.90257,0.570784626,1.001956955,Chemo-Chemo
228,46,156441.3602,0.726498652,1.322315122,Chemo-TDxd
229,46,177368.289,0.801056277,1.422523018,TDxD-Chemo
230,46,220296.0242,0.899771318,1.619539435,TDxD-SG
231,47,369898.2242,1.462809525,2.366192144,Super_TDXd
232,47,103031.4337,0.52772579,0.948283462,Chemo-Chemo
233,47,155020.4023,0.612198234,1.118519223,Chemo-TDxd
234,47,196277.7206,0.773150264,1.368022745,TDxD-Chemo
235,47,223155.4343,0.821574673,1.465600914,TDxD-SG
236,48,273641.55,1.332078233,2.256341945,Super_TDXd
237,48,95978.16548,0.530090641,0.915419762,Chemo-Chemo
238,48,140618.6464,0.682307388,1.189523479,Chemo-TDxd
239,48,168291.452,0.785716889,1.366117026,TDxD-Chemo
240,48,192329.8816,0.794068334,1.380772277,TDxD-SG
241,49,305414.3454,1.221834507,2.142323528,Super_TDXd
242,49,105366.6314,0.550954834,1.007889016,Chemo-Chemo
243,49,166875.8868,0.664236858,1.26623081,Chemo-TDxd
244,49,193638.7886,0.747019785,1.399125882,TDxD-Chemo
245,49,229028.2637,0.813497429,1.544919922,TDxD-SG
246,50,340764.0121,1.311607945,2.381836596,Super_TDXd
247,50,96947.07465,0.47087806,0.915506796,Chemo-Chemo
248,50,157184.4133,0.602966172,1.200237026,Chemo-TDxd
249,50,176064.5126,0.669709381,1.353132829,TDxD-Chemo
250,50,204863.0925,0.743265233,1.506053933,TDxD-SG
251,51,312351.9818,1.029874672,2.044409769,Super_TDXd
252,51,98062.9173,0.460641322,0.986989168,Chemo-Chemo
253,51,137816.0367,0.503491539,1.088593159,Chemo-TDxd
254,51,190709.525,0.630159224,1.353821613,TDxD-Chemo
255,51,222258.3714,0.69804535,1.515518107,TDxD-SG
256,52,283514.5439,1.351893069,2.277332672,Super_TDXd
257,52,88141.94214,0.459831489,0.869268339,Chemo-Chemo
258,52,122903.4728,0.541965811,1.036557847,Chemo-TDxd
259,52,150029.9291,0.65825078,1.207814868,TDxD-Chemo
260,52,182608.9545,0.734662374,1.363707637,TDxD-SG
261,53,309648.3498,1.24495434,2.12981381,Super_TDXd
262,53,109354.1587,0.602775909,1.10057364,Chemo-Chemo
263,53,196023.7427,0.728549348,1.463457976,Chemo-TDxd
264,53,199382.4376,0.786334103,1.478575756,TDxD-Chemo
265,53,239951.0134,0.861204257,1.692080352,TDxD-SG
266,54,308532.6612,1.066674027,1.997964678,Super_TDXd
267,54,105954.686,0.547217263,1.08895807,Chemo-Chemo
268,54,187864.3586,0.678982025,1.400070136,Chemo-TDxd
269,54,225453.4362,0.763477004,1.498654644,TDxD-Chemo
270,54,251951.6882,0.806109288,1.598246088,TDxD-SG
271,55,298207.4868,1.076224137,2.217106748,Super_TDXd
272,55,111509.5975,0.512025218,1.088889679,Chemo-Chemo
273,55,169367.3681,0.631166953,1.350980924,Chemo-TDxd
274,55,189707.2473,0.663351424,1.421937745,TDxD-Chemo
275,55,217530.0858,0.72501039,1.55783961,TDxD-SG
276,56,341072.7895,1.302024313,2.083215685,Super_TDXd
277,56,87606.89274,0.431144256,0.823215295,Chemo-Chemo
278,56,162632.3688,0.544487561,1.102263811,Chemo-TDxd
279,56,174057.8215,0.628880899,1.13961286,TDxD-Chemo
280,56,209428.8344,0.739203259,1.407547885,TDxD-SG
281,57,325304.9997,1.492937191,2.228254528,Super_TDXd
282,57,86770.89864,0.646177615,1.004659966,Chemo-Chemo
283,57,147927.318,0.786511292,1.265263377,Chemo-TDxd
284,57,194567.807,0.896989175,1.410571412,TDxD-Chemo
285,57,235946.4849,0.998721747,1.594350002,TDxD-SG
286,58,367453.1197,1.329487555,2.176792655,Super_TDXd
287,58,98179.76326,0.539417489,0.922663731,Chemo-Chemo
288,58,148983.8818,0.623692287,1.070707185,Chemo-TDxd
289,58,199409.5582,0.739904678,1.291023645,TDxD-Chemo
290,58,207734.3353,0.751095046,1.310719253,TDxD-SG
291,59,317946.4657,1.443023014,2.316820722,Super_TDXd
292,59,110006.7978,0.665584113,1.09541687,Chemo-Chemo
293,59,188397.8319,0.851167271,1.462813792,Chemo-TDxd
294,59,198528.283,0.87129123,1.465339873,TDxD-Chemo
295,59,229130.3896,0.898213766,1.516898516,TDxD-SG
296,60,301241.3623,1.102898794,1.906338949,Super_TDXd
297,60,99221.60856,0.517496085,1.018754883,Chemo-Chemo
298,60,181338.4688,0.656352107,1.37077441,Chemo-TDxd
299,60,196467.7312,0.699664283,1.312596001,TDxD-Chemo
300,60,264089.0194,0.842568575,1.668204422,TDxD-SG
301,61,258277.597,1.145488611,1.954309827,Super_TDXd
302,61,95820.55049,0.502109945,0.887605792,Chemo-Chemo
303,61,139892.4945,0.619853665,1.109700462,Chemo-TDxd
304,61,157415.8487,0.672720403,1.196864455,TDxD-Chemo
305,61,178931.0756,0.739275547,1.316606763,TDxD-SG
306,62,355632.4462,1.194191343,2.191711479,Super_TDXd
307,62,102532.838,0.463423273,0.999630271,Chemo-Chemo
308,62,177808.1677,0.541901214,1.256635092,Chemo-TDxd
309,62,210441.738,0.68699097,1.356555585,TDxD-Chemo
310,62,244883.9198,0.749971914,1.562757096,TDxD-SG
311,63,297715.6839,1.395513466,2.205488148,Super_TDXd
312,63,108664.9665,0.607169293,0.981300401,Chemo-Chemo
313,63,157455.1456,0.713511038,1.185430071,Chemo-TDxd
314,63,186887.7581,0.845550278,1.402012165,TDxD-Chemo
315,63,209227.5669,0.896791916,1.496262369,TDxD-SG
316,64,281433.7253,1.115894492,1.897502246,Super_TDXd
317,64,90763.06104,0.53528695,0.997839192,Chemo-Chemo
318,64,143683.5636,0.606883854,1.182354023,Chemo-TDxd
319,64,179354.0334,0.710909579,1.28945677,TDxD-Chemo
320,64,210642.0782,0.793110186,1.501440111,TDxD-SG
321,65,314893.9187,1.403263464,2.141436917,Super_TDXd
322,65,100449.1737,0.669176437,1.035537455,Chemo-Chemo
323,65,171348.9396,0.840835985,1.338705221,Chemo-TDxd
